genere,sottogenere
gregorian chant,sarum chant
folk,baguala
vaporwave,vapornoise
trap,new jazz
chazzanut,ashkenazi cantorial music
western classical,fugue
heavy metal,us power metal
funk mandelão,brazilian phonk
carnatic classical,konnakol
poetry,ngâm thơ
hindustani classical,tarana
hip hop,philly club rap
electronic,graphical sound
trap,rage
hardcore techno,amigacore
garage rock,frat rock
folk,ländlermusik
javanese gamelan,gamelan surakarta
edm,hypertechno
house,stutter house
r&b,beach music
bluegrass,traditional bluegrass
black metal,dissonant black metal
drill,new york drill
new york drill,sexy drill
new york drill,sample drill
gospel,urban contemporary gospel
brass band,dechovka
funk brasileiro,trapfunk
chanson française,chanson québécoise
waltz,vals venezolano
church music,russian orthodox liturgical music
russian orthodox liturgical music,kyivan chant
russian orthodox liturgical music,znamenny chant
byzantine chant,sticheron
byzantine chant,troparion
byzantine chant,kontakion
marching band,drum and bugle corps
funk mandelão,ritmada
go-go,bounce beat
hindustani classical,klasik
maloya,maloya électronique
house,jazz house
western classical,capriccio
muzika mizrahit,muzikat dika'on
marching band,guggenmusik
western classical,canzona
soul,progressive soul
breakbeat,funky breaks
c-pop,gufeng
western classical,impromptu
frevo,frevo de rua
frevo,frevo de bloco
cumbia peruana,cumbia amazónica
western classical,bagatelle
marching band,beni
frevo,frevo-canção
western classical,character piece
edm,post-dubstep
western classical,theme and variations
chinese classical,nanguan
cumbia sonidera,cumbia rebajada
glam metal,sleaze rock
poetry,punk poetry
speech,sermon
noise rock,pigfuck
electronic,krushclub
poetry,kakawin
gangsta rap,scam rap
regional mexicano,grupera
modern hardtek,pumpcore
lullaby,batonebi songs
batonebi songs,iavnana
sound collage,spamwave
hands up,buchiage trance
folk,scottish country dance music
rock,rock urbano mexicano
gospel,praise break
drill,free car music
chinese opera,kunqu
electro-disco,red disco
dance-punk,dance-punk revival
metalcore,thall
pop,toytown pop
folk,trikitixa
modern classical,process music
sizhu music,jiangnan sizhu
exotica,sitarsploitation
edm,slimepunk
indian pop,bhojpuri pop
cumbia peruana,chicha
frevo,frevo elétrico
twee pop,cuddlecore
plugg,ambient plugg
psychedelic folk,wyrd folk
reggaeton,romantic flow
drill,philly drill
trance,hi-tech full-on
afro house,3-step
western classical,passion setting
garage rock,garage psych
christian rock,xian psych
nature sounds,rain sounds
kwaito,bacardi
minimal drum and bass,microfunk
j-pop,wa euro
psychedelic,psychploitation
edm,melodic bass
pop rap,frat rap
gangsta rap,mafioso rap
minimal drum and bass,autonomic
maddahi,shoor
new beat,hard beat
western classical,english pastoral school
western classical,concertina band
western classical,string quartet
western classical,symphonic mugham
work song,haozi
reggae,deejay
hardstyle,nustyle
country rock,cosmic country
hardstyle,early hardstyle
contemporary folk,loner folk
huayno,chimayche
plugg,terror plugg
pop,electro hop
cumbia,cumbia salvadoreña
drum and bass,deep drum and bass
rock,beat rock
riddim dubstep,liquid riddim
pacific reggae,jawaiian
chamamé,chamamé tropical
bounce,sissy bounce
hardcore techno,frapcore
chinese opera,sichuan opera
hardcore punk,christian hardcore
metalcore,progressive metalcore
central asian throat singing,kai
reggaeton,doble paso
hardcore hip hop,chopper
eurobeat,j-euro
hip hop,stoner rap
polka,chicago polka
dancehall,trap dancehall
ragtime,ragtime song
gangsta rap,coke rap
drum and bass,technoid
city pop,neo-city pop
work song,industrial folk song
polka,eastern-style polka
jazz,sweet jazz
surf,hot rod music
hip hop,houston sound
folk,turkish folk
turkish folk,zeybek
pop,turkish pop
ragtime,classic ragtime
hungarian folk,csárdás
hungarian folk,nóta
folk,hungarian folk
hungarian folk,pásztordal
dark wave,neue deutsche todeskunst
modern classical,neoromanticism
country pop,boyfriend country
funk brasileiro,funk consciente
visual kei,soft visual
sertanejo universitário,agronejo
folk,drinking song
folk,rabbit song
work song,military cadence
industrial rock,machine rock
piyyut,zemirot
uk garage,dark garage
rawstyle,xtra raw
hard rock,rock kapak
séga,traditional séga
traditional séga,séga tambour
spirituals,concert spiritual
jazz,neo-bop
edm,neo rave
hip hop,samba rap
trance,trance 2.0
cueca,cueca brava
avant-garde jazz,free funk
jazz-funk,free funk
synthwave,dreamwave
trance,electro trance
march,música festera
art song,spiritual art song
concert spiritual,spiritual art song
post-hardcore,pop screamo
edm,hardtekk
jazz,paramaribop
chinese classical,yanyue
folk,nepali lok geet
dungeon synth,keller synth
synthwave,outrun
huayno,chuscada
russian orthodox liturgical music,valaam chant
breakbeat hardcore,jungle techno
cumbia peruana,cumbia sureña peruana
cumbia peruana,cumbia norteña peruana
schlager,partyschlager
garage punk,budget rock
progressive house,epic house
edm,toytown techno
hardcore punk,tough guy hardcore
j-core,hard renaissance
ngoma,chakacha
folk punk,rustic stomp
huayno,huayno con arpa
classical crossover,operatic pop
rock kapak,rock jiwang
new beat,skizzo
harsh noise,cut-up noise
medieval lyric poetry,minnesang
cumbia,tecnocumbia
gabber,dutch trancecore
folk,fahrtenlied
reggae,reggae panameño
cumbia,cachaca
cumbia peruana,cumbia sanjuanera
medieval lyric poetry,troubadour song
post-hardcore,progressive post-hardcore
progressive post-hardcore,swancore
