Artista,Ascolti,AscoltiFilter,TracceUniche,TracceUnicheFilter
Alela Diane,133,110,18,18
Thegiornalisti,132,15,18,6
Steely Dan,132,111,58,56
Lukas Graham,132,45,3,3
Joji,132,115,70,70
Em Beihold,132,94,6,4
Gupi,132,114,24,22
Frank Zappa,131,101,37,29
Arvo Pärt,131,106,78,73
Cymande,130,92,33,31
Queen,129,100,66,60
Milky Chance,129,105,35,33
Jonas Brothers,129,15,7,3
DNCE,129,23,5,3
George Harrison,128,98,30,25
Opa Tsupa,128,90,43,37
TOOL,128,102,32,30
The Weeknd,128,52,8,6
Dr. Peacock,128,93,34,27
Deuter,127,121,87,87
aya,127,110,15,15
amiina,126,110,48,47
Syd Matters,126,108,18,18
Miley Cyrus,126,80,23,20
New Trolls,125,82,24,21
NTO,125,106,26,25
Orchestra Baobab,125,95,39,38
Mitski,125,108,21,20
Fire-Toolz,125,109,74,72
"Crosby, Stills, Nash & Young",124,114,19,17
Pixies,124,71,22,21
Wilco,124,70,22,20
Paul Dukas,123,95,95,83
Balkan Ethno Orchestra,123,96,5,5
LITE,122,99,26,25
Foster The People,122,64,14,11
Billy Joel,122,70,13,10
Los Destellos,122,97,35,33
Mietze Conte,122,99,36,31
c0ncernn,121,95,21,21
Gemitaiz,120,87,22,13
Geoffrey Oryema,120,69,19,18
Maggie Rogers,120,66,11,3
Tristeza,119,110,32,31
Clever Girl,119,97,7,7
"Earth, Wind & Fire",119,89,49,41
NABOWA,119,91,17,12
ML Buch,119,105,15,15
America,118,92,18,18
Computer Games,118,23,3,3
BANNERS,117,65,1,1
Caparezza,116,78,58,51
The Offspring,116,72,13,11
Modest Mussorgsky,115,84,66,45
Tracy Chapman,115,72,25,23
Kælan Mikla,115,105,51,49
HUNTR/X,115,89,11,11
MGMT,114,96,22,21
Miles Davis,114,71,59,44
Gorillaz,114,80,45,36
Jamie xx,114,106,31,26
Ali Farka Touré,114,98,24,22
Dzp,114,84,7,7
Brett Dennen,114,44,3,3
Samuel Organ,114,106,12,12
Sia,113,66,27,23
underscores,113,87,35,31
Clou,112,107,13,12
Jóhann Jóhannsson,111,98,26,26
Macklemore,111,49,5,4
Noah Cyrus,111,48,5,4
Animals As Leaders,110,89,29,29
Bonobo,110,93,29,26
Ilya Beshevli,110,51,47,32
